#TAXONOMY	Kingdom	Phylum	Class	Order	Family	Genus	Species
7e16dc5ca13e892bce19249e247a6977	Bacteria	Firmicutes	Desulfitobacteriia	Desulfitobacteriales	Desulfitobacteriales	TC1	uncultured_bacterium
f45586da53f7dbe88021b41715ae9438	Bacteria	Chloroflexi	Anaerolineae	SBR1031			
1a2c9796bc40579d3003b5f8b55b88a0	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales			
8ab9da7b19d653c8eb94f81a50656abb	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	uncultured	
3a7d9ea4fda91875af3d97b99bee63b8	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella_aurantiaca
97b39022ec8be3403dab83da199aaedb	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	uncultured	uncultured	uncultured_sludge
0287a5f28b1c396c5dd899afb83717a9	Bacteria	Proteobacteria	Alphaproteobacteria				
d0a955fcb8038df0d6bbf1c6292a64a6	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium-Methylorubrum	
fcd56913dc42334f9a9116931fbb32cd	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Phormidiaceae	Kamptonema_PCC-6407	
2533aabe54e0c2b820dded9cc73b61c6	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	
fedb81287832575f90749124e7e4b903	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Peredibacter	
86fa662da6869634e7f90f85e9ee4933	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Piscinibacter	
16b1f4ed2ddf0237b56c4333f3262789	Bacteria	Firmicutes	Bacilli	Exiguobacterales	Exiguobacteraceae	Exiguobacterium	
007305f4b233db3502d1fd6715d142cd	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Terrimicrobiaceae	FukuN18_freshwater_group	
98d5292be19b5138bdeb287c7522e0a5	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales			
14edbe6f6261c439499e155a6945d361	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Scardovia	Scardovia_wiggsiae
5a133f5c17419724d7d31bb615ed1dce	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	
f53430d40c5c9e79783069bd874d672e	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20	
48cf9a2835c2c786ad5bb44f734e4096	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	Micavibrionaceae	uncultured	uncultured_bacterium
4631186cf8d39df13278fc2d20c76006	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter	
b14454ded4f068536c85a41fd3ccb2b6	Bacteria	Bacteroidota	Bacteroidia	Cytophagales			
a1429eae15bdc8c7054a9950f4969aaf	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae		
5643d7446642c1dd70d7f2a8b4c604e6	Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	Pajaroellobacter	
46e9a599e2fa87a38053ade5e38df428	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae		
52ca6da1ffd146c77de97cf732d67ccd	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	
1142e60f840f00ab5392d58f38d56dcc	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
5df152515ce42a93bef907e8b155a552	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales			
afe663f79b6203c5fa599db929fd210c	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales			
69ac4b1eba59d99c56e0af4d5db87363	Bacteria	Firmicutes	Desulfitobacteriia	Desulfitobacteriales	Desulfitobacteriales	TC1	uncultured_bacterium
d23a03c9311a4683e137cf93e750c5a6	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	
9f2a810c07281ad15e0a0483523c8343	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	
2bdd5a980dd23d0749060f4d19392174	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	TRA3-20	TRA3-20	
e87ab0ddab900883f73e224fb7b12852	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae		
f503142325fbf21608a6ff52906de4a6	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Veillonella	
0a7b2f8af8ed50ba0efe38755e9607a7	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales			
a8d4a9d83de9d7331ed1058b47bb520d	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae		
b6148394785ae95b173da857d90fa27c	Bacteria	Firmicutes	Desulfitobacteriia	Desulfitobacteriales	Desulfitobacteriales	TC1	uncultured_bacterium
14779f9dc3505598ad3d799e4ee676c4	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales			
072b96434143637641a5fa36c4a2401a	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	
35e19366e27357cb185617d78cb4644d	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae		
6b098049412e8d296605060615851220	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae		
2cc5af3adbca3c97aaa75e097d17af1b	Bacteria	Chloroflexi	TK10	TK10	TK10	TK10	
b103c7ed4f917afb1ba4be3ac42dffbe	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales			
ce4c8a41d6d6ba8bf70dbf94a62317ec	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Veillonella	
8bb843c0baea6f1d3ec88749412763ba	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Chitinibacteraceae	Deefgea	
615be24d95ea97d27c68ddf6815af577	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	
71920998926cb1ddee47a006662defee	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia	
f73be1e467aae5d2e2c20df5dc096ad8	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae	
3448b2ba13c806d6fd40a3528d488e0a	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	
f48e5b6cc1bc79c177dbbfc180fe4bd7	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Brevibacteriaceae	Brevibacterium	
e3be7e902e4d7457bb9c91dde28ade33	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Edaphobaculum	
b4ae1808187b363dac2dfb42adb1faa4	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	
8abd2cb0282af75d4b6ec09803960295	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales			
3d03d7ba7af38d38e21462c135d253c3	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	
f4f6b66abccb4713206a4ce95b3088d2	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	
f8aa2b0921681d90e193cc31bc914c78	Bacteria	Bacteroidota	Bacteroidia				
0f376c6799968d6b9be9aa74429834d2	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Emticicia	uncultured_bacterium
5bfc558b76cd9355c5d7ed732d8d67cc	Bacteria	Elusimicrobiota	Lineage_IIb	Lineage_IIb	Lineage_IIb	Lineage_IIb	uncultured_bacterium
f22d7ed79cab907ad0c145ba861fe3b9	Bacteria	Armatimonadota	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	Fimbriimonadaceae	
1cdbed3f7f455723bea1eb596b8ac720	Bacteria	Firmicutes	Desulfitobacteriia	Desulfitobacteriales	Desulfitobacteriales	TC1	uncultured_bacterium
85c8586ad237e76fccfc82777d2cf4d9	Bacteria	Firmicutes	Bacilli	Exiguobacterales	Exiguobacteraceae	Exiguobacterium	
79644d52b802fb5c88f944746e3521a7	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales			
5afeb54a611ddda466531acdd7d6bbc6	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	Vicinamibacteraceae	
4ee500d18f26986358c948abf7dd35ea	Bacteria	Firmicutes	Clostridia	Oscillospirales			
1838050c8a975d5da16b829d8b5ca950	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Sporomusaceae	Thermosinus	
c411d275a459a80d499f68c8bd9e4e83	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	
a6d9789cbdc20042b8e71e6d4c41d11c	Bacteria	Firmicutes	Bacilli	Exiguobacterales	Exiguobacteraceae	Exiguobacterium	
5696a49a420c947b6e240abb3b0c85ca	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Microvirga	
