#NAME	Ev13.B	Ev14.B	Ev17a.B	Ev18a.B	Ev18b.B	Ev19b.B	Ev20.B	Ev21a.B	Ev22a.B	Ev24.B	Ev3.B	Ev4.B	Pg19.B	Pg20.B	Pg21.B	Pg22.B	Pg25.B	Pg26.B	Pg29.B	Pg30.B	Pg31.B	Pg32.B	Pg33.B	Pg35.B
7d415b5535f33105ed556741d551a5cf	122	283	381	213	883	203	811	701	19	44	0	0	88	285	332	147	617	263	0	0	34	0	70	0
eb2f69343db0ef24b575f54a757e3b05	15	34	57	0	0	0	95	58	89	144	0	39	145	324	324	1270	693	360	364	20	248	409	278	417
4e38d216a2c1db938cafdd193e8f0026	0	0	0	0	62	0	0	0	20	77	48	31	0	19	61	0	1660	2736	11	255	198	57	45	30
332558f0dbafb4adc99186ae459873a2	0	0	0	0	0	0	0	0	0	0	0	0	0	12	22	0	2210	2663	0	0	0	0	0	0
fad5e1d2b002445782547bd8936189e8	75	122	492	82	633	158	698	975	314	383	216	213	0	12	0	46	248	131	0	0	0	0	0	14
3daeeadfa4ce91d90740cf9028ba1edc	540	1428	43	1101	279	856	158	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fe82542d9858919e0c4ea392756edce9	36	18	203	13	132	59	200	185	274	272	466	559	0	14	8	0	38	0	384	409	471	407	254	23
e711ebb2c7dae40636bdd72e39be44e8	85	136	469	29	592	95	1017	1201	18	22	22	0	0	0	0	0	243	240	0	0	62	32	0	82
63aa9079044cb6537cbb38a60422d1e3	0	0	0	0	0	14	0	17	23	27	0	20	0	52	53	26	562	1486	400	418	380	516	124	124
4387f7af71a5a423eb989a12ad942665	39	39	0	0	0	29	0	57	13	33	34	0	20	56	82	72	1262	1457	103	127	352	300	68	4
1586c733a69c901c39ada6d22890f0df	0	27	128	0	102	0	45	89	125	200	0	8	3	5	3	60	938	1059	189	220	118	58	27	655
5c6b258e2319e73d6cc177f23b2991b7	438	583	229	590	161	321	391	305	0	21	0	0	24	135	137	438	43	53	57	0	0	76	25	0
53e01903781e4632f9b27a550651bf5f	282	404	441	593	644	233	827	581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3780c4f620c9a604c634f89da6fea586	13	23	42	0	0	35	0	14	70	78	41	24	3084	39	10	0	123	154	18	0	34	0	37	0
6e9d139857d4e394b8c801886ab124c1	789	888	204	733	109	747	127	102	0	0	0	0	0	0	0	0	9	3	32	0	35	26	13	0
722f8fac9fe6c50824a866252841f71e	0	0	0	0	0	0	0	0	0	0	0	0	9	15	9	3400	186	60	0	0	0	0	0	0
6afbae7de38783e7799a61eaedb17fa0	0	6	0	16	0	0	0	0	73	65	105	38	124	280	283	1296	613	240	101	189	57	43	49	19
1d2e7327357faa819c41f72a9eb3baf5	0	13	0	0	0	0	0	0	0	0	60	0	32	43	70	2369	504	193	59	0	91	0	0	0
2174622cbe20af9c4a6cd40aae3bec1f	238	79	406	216	363	374	0	125	52	220	291	159	0	0	0	0	0	17	117	246	236	52	165	0
f95201f0974928e9ff50ba3e03161d84	102	149	272	65	83	23	202	210	465	677	419	296	0	0	0	0	105	13	80	0	0	0	20	163
aced27b4d0bb991c15039bc16f2cb3b3	116	158	203	225	179	89	42	234	440	436	331	503	0	0	0	0	0	0	38	0	18	20	83	191
8a5d5b7db8a100ad1d75db6aa3c7e10c	26	10	81	0	0	6	0	0	113	223	47	46	0	0	0	0	181	43	933	0	43	301	831	272
39b8debea68b95f6b34fbd7e54ec3cf5	17	9	800	0	362	0	437	530	5	24	9	20	0	0	3	0	197	607	0	24	21	13	0	0
40c12cb62239105529c53ccbead5d2ce	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	635	2373	0	0	0	0	0	0
cbba498ead26f1b128c28f98b8effd1f	83	134	177	21	93	108	0	41	17	16	89	99	0	0	0	0	0	0	307	379	543	176	588	151
742b651e1a3bad69da72afea9245226c	264	99	671	230	285	375	46	203	38	103	250	61	0	0	0	0	0	0	43	0	222	0	130	0
17ddc82b143ae681ab91f8613291fa3e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	665	167	375	337	410	337	450	41	176
a4762b3106c1d8a01739f6c7725a3ce2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	141	263	159	2127
4f217ab7fd3fb4ef7e5ee2cef2e35be9	102	169	0	169	0	136	0	0	287	264	606	741	0	0	0	0	0	5	110	0	0	43	134	9
4f7d2fca9a96faa317081c1dec013ad8	475	559	55	564	162	546	81	114	0	0	0	0	24	3	0	0	0	0	36	0	22	24	0	0
fd56359a06eb5e8b76798764deb875c1	0	23	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	566	28	29	18	96	1862
4bf564cdf54586e7be33312bac140181	43	15	0	0	0	0	80	0	0	0	27	20	0	0	0	0	0	8	402	331	616	163	908	8
cb3f40c6e5d37876c3dc5b3572fbc97b	0	0	962	0	580	0	466	372	0	11	13	0	4	0	0	0	44	68	0	0	0	0	0	0
659608b92196c25e8fe7dc661b0f24fc	0	38	0	72	156	24	119	194	33	61	59	56	0	1	6	9	77	42	272	410	273	443	112	21
435cdf0c61e63db7fdd500435afcf594	204	239	331	169	560	150	408	407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6e93d62cda37979baed7630c098a2024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	29	0	660	203	530	607	242	95
e033f0f249ddc23fd0c9787b6c71d6f2	321	589	24	754	63	301	151	99	0	0	0	0	0	0	0	0	0	0	22	0	0	32	0	0
2e3bc1fff8970f20836622e11fbecdec	0	0	79	40	130	13	91	176	0	0	0	11	0	0	0	0	10	0	503	126	418	436	276	6
6739009f197fb827b183cff1842e224f	137	184	18	68	62	113	30	73	411	305	363	456	0	5	0	0	0	0	0	0	0	0	0	0
5e8b92f1ff9266afb08d805ff697e4df	69	168	0	76	0	80	44	20	344	360	390	425	220	0	0	0	0	24	0	0	0	0	0	0
f58f12b7cdf0ed5cf6861fbf4edf2f36	0	9	46	35	0	285	13	0	11	13	0	0	3	0	0	0	0	0	109	0	189	1204	282	11
deadc866c0aa2a56d76885abe8497e6c	146	176	0	113	0	96	0	0	34	49	289	110	0	0	0	0	19	0	373	101	137	235	319	0
3ab588a839431096ec0570e4ec39ce27	83	151	0	258	0	107	0	0	20	22	69	67	9	25	18	6	121	31	325	0	341	249	160	30
8a6ffb8698f19e805e200caffd2bf7d8	0	29	0	0	0	16	0	0	87	54	56	67	113	14	0	0	125	61	237	164	69	132	0	821
b938c7074658a9268f5c5e36fa0b27fe	0	0	0	0	0	0	0	0	0	0	0	0	0	8	17	0	740	1277	0	0	0	0	0	0
7ec6e95c8d5b129c687000a07bbfcdaf	153	115	0	45	67	119	37	0	252	580	156	421	0	0	0	0	0	0	0	0	0	0	41	54
415513f58759d68ba66afebe80600f98	134	131	488	127	139	78	103	341	104	57	91	50	0	0	0	0	152	34	5	0	0	0	0	0
51eb6fef2461587bede06ec7a15310f4	29	0	0	37	0	14	0	27	226	415	0	57	0	0	0	0	74	53	116	0	0	118	236	556
53d615cc080461f12678e2b5f13758eb	21	0	0	0	0	5	0	0	0	0	0	0	0	13	30	1144	388	280	11	0	36	0	0	0
44ff7ca3661be3e78c35a707bea151a2	0	0	1150	0	180	0	394	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b73eb20eca1019b491ec94f93f0003ad	0	0	439	0	468	24	259	576	54	55	0	0	0	0	0	0	0	0	0	0	19	0	0	0
e9dcdb253cffc356fa0cb7f729879b4e	0	0	0	0	24	0	0	0	19	38	0	0	14	34	59	543	631	481	16	0	0	0	21	0
b9b174902b95a6fcc828c3c61cfd9899	321	21	311	274	151	166	85	71	25	34	45	0	0	0	0	0	0	0	68	150	52	0	77	26
b20db3b864e5cb11a9c595a75a97a7c0	53	0	0	0	0	0	0	0	0	9	40	19	0	0	0	0	15	18	727	48	119	139	146	536
35d8fa438602a2022c45627e0103ddc5	185	0	196	149	150	121	55	87	43	46	299	52	0	0	0	0	0	0	0	75	182	33	186	0
5d5073d6ca8f51545dfd4f3c01f4b7ab	0	121	320	145	168	67	63	242	50	88	46	73	192	0	0	0	49	0	30	0	35	25	137	0
ad85283de07d05536e0e72c868b718f2	14	28	0	134	0	28	108	10	214	201	558	356	0	9	0	0	32	53	0	0	46	18	0	0
a1288336cc76ee0ea5366ffa52c0e73c	51	108	0	377	0	123	0	20	24	92	230	186	0	0	0	0	0	0	136	97	210	32	119	0
e79f09ca22702c612f9f121fcda0e78f	257	525	0	524	0	381	47	40	0	0	0	9	0	0	0	0	0	0	0	0	0	13	0	0
c21ec777ad870c22172d7b43e058b414	56	67	337	89	265	115	48	59	21	34	43	78	0	0	0	3	0	21	79	133	56	87	145	50
fa43827240ef0fca2d18e004ecdc9458	0	27	0	0	0	0	0	0	0	0	0	0	187	658	812	0	28	45	0	0	0	0	0	27
e56e15fd750086b57c64adc46c5775d7	0	54	91	27	72	34	112	32	238	497	288	286	0	0	0	0	6	0	0	0	0	0	0	0
58f65cfb3bdee4075599b8ede4c93e78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	334	156	441	545	259	0
efe3d7dae50957699c068303eb51e893	169	71	0	27	0	0	0	14	0	0	0	21	0	0	0	0	0	0	216	249	416	90	456	0
b3d603c36d3078d9350a38349531780c	88	133	335	195	73	87	204	197	96	148	19	12	45	6	11	0	0	0	47	0	0	0	0	10
9c4e803047c0a129cfc1edb7afff85f5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	430	224	281	439	231	71
5c2ab0ea103a42b7936f3369b689ca03	26	55	0	0	57	20	32	48	21	45	0	94	0	0	0	0	5	11	221	97	298	186	415	36
e5051c9ea3055c80f8eebbfed08ea857	0	0	0	0	0	0	0	0	0	28	0	16	0	10	36	0	650	688	69	23	26	90	14	0
4a64b529620d82cd32d5ed0f1c43da57	104	33	145	115	149	159	32	104	44	95	368	61	0	0	0	0	0	0	85	0	91	6	58	0
13a6d182ec7eb96a991100b08e9e47b5	180	102	85	312	37	75	0	71	122	122	0	125	0	0	0	0	0	0	60	0	48	102	87	107
9f5e15b27db280544320b2f3a92b11a6	0	0	18	0	69	9	0	0	6	0	0	0	53	89	0	0	0	48	147	130	408	267	309	61
02d51e6bf09fb057fecae3fea6c717ca	316	25	65	147	188	289	0	0	32	43	174	36	0	5	0	0	0	0	0	106	39	66	52	0
e2af42c70ab877819b73d2af6e0557d4	0	0	0	0	0	0	0	0	0	11	0	0	213	619	592	0	0	0	0	0	60	0	0	31
5dc9be5a971537dc34cfdde51f468ee5	0	0	0	0	0	0	0	0	44	39	0	13	0	0	0	0	15	0	90	0	0	0	0	1292
2b6394efb6c411b8fd5f924cfc603047	0	30	128	0	29	0	0	21	361	432	238	122	0	6	0	0	0	0	0	0	0	0	26	70
bb8381aaed64a92e1c03878aa417b9c3	170	74	243	315	309	79	135	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
99c6f7e0db52240c8936273630f01cd9	0	0	0	0	30	0	0	0	3	0	0	10	44	35	51	971	81	161	0	0	0	0	0	0
14d5d3a037f956dfaf90b138a001c4c4	50	0	0	0	0	21	0	0	19	21	0	0	268	230	212	25	99	18	55	229	0	36	0	97
c441d53343b38ad187482c6dc11f52dc	46	47	179	0	0	0	0	0	0	30	0	0	12	30	38	36	396	472	16	1	0	34	0	0
ac9679a709100e4458b3bca0698eddf8	0	0	115	0	234	0	0	20	26	53	446	439	0	0	0	0	0	0	0	0	0	0	0	0
7c5e76abe10b2d97ef796abfe3f277e9	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	89	433	296	35	337	87
f0c0f787b15326ad5199dd7e61f5195c	66	0	0	45	0	0	0	24	186	175	431	369	0	8	12	0	0	0	0	0	0	0	0	0
7bcd06b58f4fc5fde763b5b297916618	0	57	0	105	34	67	0	16	159	180	327	249	0	0	0	4	0	0	19	0	82	0	0	15
8ff2df2e99406a635b4895b5a34bf7ee	484	0	0	32	67	134	0	0	0	0	40	0	0	0	0	0	0	0	65	311	141	0	0	0
07e3413142f0eea054317222f1546a30	188	0	173	18	35	84	51	137	22	11	113	51	0	0	0	0	0	0	27	23	96	0	230	6
a403d46cf2318af427d2c8080e2e7b0d	40	19	0	106	0	26	0	0	38	81	17	68	21	4	2	0	8	7	201	0	233	81	35	260
3cb4757583a89a9c576c054f0763fa5d	24	20	0	71	189	32	22	32	67	147	68	63	4	14	12	3	80	177	17	0	113	38	15	14
699eacb40b10374ecc7d0385fd3e3c2d	82	0	0	46	0	216	0	0	9	15	0	0	0	0	3	0	0	12	21	0	134	504	179	0
7c5c0aeabc1e28ab08101fd8ce7695ce	0	26	0	0	73	12	0	0	0	0	0	0	4	20	36	70	107	131	49	192	44	34	0	417
1064f3cd863bb02342c6349819f99f4d	15	33	225	44	54	12	93	162	104	74	184	83	0	7	0	0	0	0	0	0	18	7	57	15
33bca3bdf333c443dd5e8510d36f364e	0	0	0	0	0	0	0	0	169	504	0	0	0	0	0	3	12	25	0	279	0	12	0	171
032a5f1e09507c26c0d93bd850473fbf	0	0	117	0	26	0	13	14	9	0	0	10	5	4	10	0	512	454	0	0	0	0	0	0
a496b1a698344a4b38114ec7fba33856	0	0	0	0	0	0	0	0	0	0	0	0	29	163	106	606	112	142	0	0	0	0	0	0
1dc1f4e1d0eabcafe26e816809fd4084	102	10	0	36	140	147	0	25	18	25	94	32	0	0	0	0	0	0	14	375	51	20	66	0
c14a417dbe1327a298aac194cd8d6929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	237	870	19	0	0	0	0	0
743f3ef682d840b1510a915b52b7658f	126	119	132	129	6	80	0	17	52	48	141	82	1	7	12	0	0	21	84	0	38	26	0	1
b077261b1c7fd8d1a53d81848ca9e5b9	183	126	39	122	26	155	34	65	15	34	24	24	0	0	0	0	98	168	0	0	0	0	0	0
dc1e84496a3fb881040fec19d7325537	12	0	0	5	0	14	0	0	0	3	0	15	0	0	4	8	39	0	88	315	213	207	135	46
d8a61c9e613b1900869d2c3203331158	98	54	133	0	0	31	25	9	13	5	37	9	0	0	0	0	0	0	90	104	174	123	196	0
87315e8f35c57bfcb15efea7ae7d2f3d	94	131	267	158	167	72	97	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c2a5f4d887999b9d712413cd4a9ed240	0	0	0	0	0	0	0	0	0	0	0	0	31	0	4	3	979	45	0	0	0	0	0	0
26a0f8597d9ec48dcb930066f098462f	20	0	0	0	0	133	0	0	16	5	0	0	0	0	0	0	4	7	0	27	65	498	266	0
26452c6d794075b8f27d24775da88f14	0	0	0	0	27	9	19	51	0	8	12	6	9	17	16	11	353	460	0	0	0	0	0	18
f4f65a43f2de57055c8bb6bb237e177c	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	182	43	38	0	731	0
1adad6bff1cdb6a09c76938b909e7cf2	0	0	438	0	266	0	174	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b1b9f7f1e58c15bb21cfc98a384d32aa	0	15	0	0	0	0	0	0	0	1	0	0	13	13	17	680	140	83	0	5	15	12	0	10
02e0de2f0eaf4d0328c28b410632fa45	176	302	0	238	66	181	14	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0
c5e652f0bf794fb9d60bf390f9168f40	0	0	0	0	0	0	0	0	11	44	0	4	0	0	0	24	27	0	226	386	132	78	37	8
385e2f39abe0027a3316a33940064c79	0	46	0	91	0	0	0	0	127	95	287	319	0	0	0	0	0	0	0	0	0	0	0	0
263fa19452ea20e5609ff663a97a49ef	45	53	32	39	0	9	24	19	8	9	0	0	372	4	2	0	13	28	124	0	77	35	67	0
7a4d4e77e5d69df3e094a6ce23add612	0	0	0	0	0	0	0	0	0	0	0	23	0	0	18	0	249	302	12	0	313	34	0	0
78a45a3a04f23625ec6f82e19b89a0ea	66	17	181	44	210	4	40	20	0	10	21	8	0	0	0	0	7	0	20	0	50	42	192	14
