#TAXONOMY	Kingdom	Phylum	Class	Order	Family	Genus	Species
68e8b5b317d996ad8933749ea4907e8f	Bacteria	Actinobacteriota	Actinobacteria	Kineosporiales	Kineosporiaceae	Pseudokineococcus	
3f9bf99e02bfd19df423bb8f84809d23	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae		
5c40ad4e4e26a417b9286cea2c6ac31c	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia	
cad7e84959731afc89810bdfe0ef5ea6	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	
6415de1dde0c8a5436f00a6241274164	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae		
92b67aaf00ffa9a6752f4a73ad46ec92	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	OM27_clade	uncultured_bacterium
516becd6fe8f5b89e9c9f9e0bac4bf90	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae		
ee2b3a4ae9b2b1d620923e5e1f29be61	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	
59796e8b682dc324b88d38b9732b1f14	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Aurantivirga	Polaribacter_sp.
1dd93bc6495f69e240a1255d573cf474	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS4_marine_group	uncultured_Flavobacteriales
a381502a61bbac416a218a81f3f32c95	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	uncultured	uncultured	uncultured_bacterium
bcc867d6334d42e91704c378d04c99e1	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116_clade	SAR116_clade	
7a23a92915e797c8c919551584a0451c	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	
abfe6b8f2f28e249d1f77d5a8987ac80	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Rheinheimera	
dcf4674d826bc02c6e795ae01a3c01b9	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae		
b480729652f0b48f816f56643fb828f6	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Simkaniaceae	uncultured	
dd64883375c5fff3cc42505d94c9c747	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Turicella	uncultured_bacterium
9c6a3cb3ca9c147f5cbfbf154c4435a1	Bacteria	Proteobacteria	Gammaproteobacteria				
c477ecabf645da1d10c676e9b6e97f23	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Colwellia	uncultured_Colwelliaceae
03bda3de7247ffd60b183e1a88bc1a91	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Saccharospirillaceae	Oleispira	
22c5787ebec758ac6b7fd4656da2230d	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	67-14	
72171d1d7189f9e8a40937c327039988	Bacteria	Proteobacteria	Gammaproteobacteria				
a33bb3f8530639fbf748990224349e05	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales			
