# Constructed from biom file																																																																																				
#OTU ID	S113	S114	S115	S116	S117	S118	S119	S120	S121	S122	S123	S124	S125	S126	S127	S128	S129	S130	S131	S132	S133	S134	S135	S136	S137	S138	S139	S140	S141	S142	S143	S144	S145	S146	S147	S148	S149	S150	S151	S152	S153	S154	S155	S156	S157	S158	S159	S160	S161	S162	S163	S164	S165	S166	S167	S168	S169	S170	S171	S172	S173	S174	S175	S176	S177	S178	S179	S180	S181	S182	S183	S184	S185	S186	S187	S188	S189	S190	S191	S192	S193	S194	S195	taxonomy
93bff8f26ce3bf25e3ad4130ecac1a62	96	97	370	48	247	59	56	110	44	269	127	205	485	699	98	431	16	66	49	69	70	193	13527	141383	495395	383317	77598	233055	1673	34842	5457	169	19698	174540	198122	117439	79544	458218	70073	91	544	783	88	722	762	45	988	57	373	565	108	404	92	136	108	128	112	0	326	172	64	26	75	259	34	74	61	66	3243	16162	20688	663	6301	50	3192	279867	1713	5599	402	18757	46812	72	84	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus
1166077431405a1fe1723daef482602d	0	2	0	0	0	0	0	0	471	0	0	2210	2260	2425	2420	2704	581444	773406	314173	727529	248575	144669	2768	0	6	2	6	6	1040	1243	489	0	502	274	0	7	0	0	0	0	427	508	0	527	222	0	0	0	0	0	3	0	307	374	173	411	164	0	0	0	0	0	0	0	275	344	148	333	131	89	0	0	0	0	3	14	300	420	164	396	157	0	0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Neisseriaceae; g__uncultured
e925639e364d0fad75203805d3c861f7	0	1533	0	269	45	1489	1213	2160	515	1441	28	61	286	52	479	118	5768	3295	5349	8006	11330	1263	68	10408	2260	57	1015	283	346	1141	800	1742	513	27	16	285	531	318	1754	1912	422	872	1166	1207	192581	1681	300	1599	177746	4969	402700	15528	131900	506293	289121	869264	2694	82	2926	299	104	73	364	29510	8541	27825	53734	685	289	121	259	149	159	113	213	28	93	298	205	707	166	115	14	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Pseudoalteromonadaceae; g__Pseudoalteromonas
fd6bce8c2c3fe877217570de4c6dae96	442	209	103	21	244	208	117	194	49	164	181	1019	130	196	36	453	21	1442	0	49	0	309	303	96392	118801	837	20704	3039	371	507	514	187	461	279650	5156	985211	1489	183478	817	231	656	921	134	1019	869	132	1264	194	309	383	293	700	252	330	307	303	397	201	351381	103175	303	268	365	378370	4348	9823	449	25618	366	442	690	656	204	326	4097	115355	730	3442	167	45985	1129	372	110	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Cyanobacteriales; f__Phormidiaceae; g__Kamptonema_PCC-6407
73689cad6eb4e86d9d0bb48c0da24463	726	0	606	506	2070	0	0	0	1171	0	427	1152	22	565	216	3138	1144	1649	1216	1611	26	47	17	2572	73	1152	428	6539	2818	3648	2133	122	465	27974	89	2039	2049	67796	3517	10	968	1434	0	1518	115	18	110	0	0	353	104	1936	689	957	628	1364	0	0	22	760	0	16	83	2134	484	725	588	731	0	48	22	3558	2308	0	234919	6163	20147	758293	1448132	4126	2288	0	19	d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium_sensu_stricto_1
6799e0b973e627a592fca7cfb0675070	101	103	390	0	0	85	75	119	36	90	332	230	239	737	0	0	0	0	0	72	0	305	584	1268	1270	2596	932	1204	822	1077	1049	113	882	324999	621366	229431	205142	944052	70451	108	1102	1464	67	1364	1387	82	2195	87	227	608	139	161	121	153	137	177	118	0	479	142	0	0	0	0	0	0	0	51	0	163	283	140	150	0	0	197	0	0	0	72	0	64	195	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus
915528f319063431cdc52dc9c0ee6117	70	73	44	49	189	853	2122	2594	581	10249	28972	8739	18600	447	4952	66378	54050	37922	48812	87687	40134	35619	649	97059	19831	159	1641	909	604	347	1093	58	304	173	215	147	76	44	74	83	222	103	53	685	22864	49	53	890	19700	1190	3314	6548	7145	5980	4786	5869	637	440	142	14868	6140	513	9765	160676	186817	34618	440320	2313	903	586	1142	761	925	826	874	1009	934	959	1375	877035	885	606	24	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Idiomarinaceae; g__Aliidiomarina; s__Aliidiomarina_shirensis
edd3a23c3b85ffc47a9f5bb3139dd364	136	214	103	29	13	139	146	243	10	807	221	416	235	260	82	57	25383	126	15130	8695	3612	127	3127	31118	273557	293557	3891	22842	328	433	484	233	766	529	1457	675	413	1006	328	296	18	0	156	0	189	187	496	266	418	470	375	456	281	366	375	338	147940	11110	487873	567954	270	3064	400	414	330	1977	620	1334	3908	149563	65181	222	1472	314	55	24	30	0	17	505	60	319	136	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast
f087289b39b97bb2cf021167992e1c7b	62	73	235	27	165	28	0	63	0	35	65	146	323	396	54	321	9	49	43	41	49	122	8609	78233	284627	210980	41230	166894	1068	28863	4697	116	13750	123422	122914	75412	51018	298638	48613	66	372	552	0	490	516	29	634	32	254	374	77	258	58	90	82	71	79	32	165	123	34	10	49	172	26	52	48	49	1887	10351	11284	259	4047	42	1878	212498	1267	5423	315	15417	29328	44	64	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus
55f47e06fb9580066754a0fb66fbea5a	20	27	117	125	44	0	21	32	206	25	180	211	360	920	552	269	23498	13444	64779	8188	14545	33757	35985	53082	168119	192981	90990	26362	891	1108	1024	22	704	511	702	72	196	218	26	22	221	263	0	333	2409	31	55	23	161	480	1871	1395	1804	1723	6158	2367	3853	4072	3576	1397	6933	3473	179134	27114	163373	248284	112526	333784	916	695	1060	36	117	756	161	45	146	133	132	2033	0	713	17	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Microbacteriaceae; g__Microbacterium
25054830799640336ed1ff88e2384b06	254	19	270	298	534	20	16785	30	461	21	232364	117696	274442	1694	48407	201028	279960	53399	28459	245130	29913	100463	2508	92189	40559	456	12622	1362	764	386	397	26	301	347	637	209	276	0	21	29	220	1104	18	234	38	17	201	26	170	41	60	139	191	72	87	180	40	11	194	109	0	0	30	111	146	23	17	145	17	48	116	87	187	0	42	141	165	33	25	184	1594	0	124	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Rheinheimera
0078952fa962d5b87f184d577d9ae150	15	0	13	10	32	82	17	264	787	26	6497	4513	3153	1707	3712	6513	14017	48677	39410	1221980	23506	175697	2660	12640	831	27	222	1710	132	131	112	20	85	348	369	619	643	605	31	25	617	2667	16	1633	2019	21	809	83	29	2956	516	206	14215	728	1273	661	37	406	139	236	26	85	24	11114	4218	1837	59	887	48	122	148	35	43	244	34	61	64	79	66	27431	60	45	121903	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas
ed2477db1935a016b1b32eb3fa087ac3	934	0	485	486	656	0	44	29	1039	0	1030	2681	969	81	35	678	507	66	860	1177	273	0	128	1493	578	80	181	536	709	349	658	24	308	0	163	741	258	95	190	522	308	40	42	775	1386	0	77	58	575	0	0	30	231	89	318	994	187	118	79	719	138	113	195	300	356	251	451	721	131054	173	9764	890580	383441	179	1493	1896	2015	1870	5662	2761	1707	250	90	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Vibrionaceae; g__Vibrio
