,PC1,PC2, sample
SRR17045222,0.2880976388486899,-0.0296671421726486,fish
SRR17045223,-0.1041049762129412,-0.2632592876064258,not_a_fish
SRR17045226,-0.0122699851874195,0.1971904149653331,
SRR17045227,-0.1717226774483289,0.0957360148137415,not_a_fish
