#NAME,SRR17045222,SRR17045223,SRR17045226,SRR17045227
ASV_1019,0,27,0,0
ASV_10190,0,1,5,0
ASV_10191,0,0,4,0
ASV_10192,0,0,7,0
ASV_10193,0,0,5,0
ASV_10195,0,0,4,4
ASV_10196,0,0,7,0
ASV_10197,0,0,5,1
ASV_10198,0,0,3,1
ASV_10199,1,0,6,0
ASV_102,0,143,0,0
ASV_1020,0,32,0,0
ASV_10200,0,0,5,0
ASV_10201,0,0,4,0
ASV_10202,0,0,3,0
ASV_10203,0,0,4,0
ASV_10204,1,0,7,0
ASV_10205,0,0,3,0
ASV_10206,0,0,6,0
ASV_10207,0,0,5,0
ASV_10208,0,0,5,0
ASV_10209,0,1,7,0
ASV_1021,0,28,0,0
ASV_10210,0,0,5,0
ASV_10211,0,0,5,0
ASV_10212,0,0,3,0
ASV_10213,0,0,4,0
ASV_10214,0,0,5,0
ASV_10215,0,0,5,0
ASV_10217,0,0,4,1
ASV_10218,0,2,7,0
ASV_10219,0,0,8,0
ASV_1022,0,30,0,0
ASV_10220,0,0,4,0
ASV_10221,0,0,6,0
ASV_10222,0,0,3,0
ASV_10223,0,0,12,0
ASV_10224,0,2,5,0
ASV_10225,0,0,3,0
ASV_10226,0,0,4,0
ASV_10227,0,0,7,0
ASV_10228,0,0,4,0
ASV_10229,0,0,9,0
ASV_1023,0,32,0,0
ASV_10230,0,0,8,1
ASV_10231,0,0,5,0
ASV_10232,0,0,8,0
ASV_10233,0,0,3,0
ASV_10234,1,0,3,0
ASV_10235,0,1,7,2
ASV_10236,0,0,7,0
ASV_10237,0,0,5,0
ASV_10238,0,0,5,0
ASV_10239,0,0,6,0
ASV_1024,0,36,0,1
ASV_10240,0,0,5,0
ASV_10241,1,0,3,0
ASV_10242,1,1,8,1
ASV_10243,0,0,13,0
ASV_10244,0,0,3,0
ASV_10245,4,0,10,0
ASV_10246,0,0,7,0
ASV_10247,1,0,4,0
ASV_10248,0,1,3,0
ASV_10249,0,1,9,0
ASV_1025,0,26,0,0
ASV_10250,0,0,8,0
ASV_10251,0,1,3,0
ASV_10252,2,2,8,5
ASV_10253,0,0,4,0
ASV_10254,0,0,5,0
ASV_10255,0,0,3,1
ASV_10256,1,0,8,0
ASV_10257,0,0,4,0
ASV_10258,1,0,7,0
ASV_10259,0,0,3,0
ASV_1026,0,35,0,0
ASV_10260,0,0,3,0
ASV_10261,0,1,4,0
ASV_10262,0,0,3,1
ASV_10265,0,0,3,0
ASV_10266,0,0,4,2
ASV_10267,0,0,3,0
ASV_10268,0,0,5,2
ASV_10269,0,0,4,0
ASV_1027,0,27,0,0
ASV_10270,1,0,6,0
ASV_10271,0,0,4,0
ASV_10272,0,0,3,0
ASV_10274,0,0,6,0
ASV_10275,0,0,6,0
ASV_10276,0,0,6,0
ASV_10277,0,0,3,0
ASV_10278,0,0,3,0
ASV_10279,0,0,4,0
ASV_1028,0,27,0,0
ASV_10280,0,0,10,1
ASV_10281,0,0,4,0
ASV_10282,0,0,3,0
ASV_10283,0,0,6,0
ASV_10284,0,0,9,0
ASV_10285,0,0,3,0
ASV_10286,0,0,6,1
ASV_10287,0,0,4,0
ASV_10288,0,0,7,0
ASV_10289,0,0,8,0
ASV_1029,0,29,0,0
ASV_10290,0,1,5,2
ASV_10291,0,0,4,0
ASV_10292,1,0,7,0
ASV_10293,0,0,5,0
ASV_10294,0,0,5,0
ASV_10295,1,0,4,0
ASV_10296,0,1,4,3
ASV_10297,1,0,3,1
ASV_10298,0,0,5,0
ASV_10299,1,0,11,0
ASV_103,0,0,0,134
ASV_1030,0,31,0,0
ASV_10300,0,2,13,1
ASV_10301,0,0,6,0
ASV_10302,0,0,4,0
ASV_10303,0,1,6,1
ASV_10304,0,0,5,0
ASV_10305,0,1,8,2
ASV_10306,0,0,5,0
ASV_10307,1,0,5,0
ASV_10308,0,0,9,1
ASV_10309,0,0,7,0
ASV_1031,0,29,0,0
ASV_10310,0,0,7,0
ASV_10311,0,0,5,0
ASV_10312,0,1,3,0
ASV_10313,0,0,4,0
ASV_10314,1,0,3,0
ASV_10315,1,0,4,0
ASV_10316,0,0,4,0
ASV_10317,0,0,5,0
ASV_10318,0,1,4,1
ASV_10319,1,0,4,0
ASV_1032,0,27,0,0
ASV_10320,0,0,5,0
ASV_10321,0,0,4,0
ASV_10322,0,0,3,0
ASV_10323,0,0,3,0
ASV_10324,0,0,6,0
ASV_10325,0,0,7,0
ASV_10326,0,0,3,1
ASV_10327,0,0,4,0
ASV_10328,0,0,3,0
ASV_10329,0,0,3,0
ASV_1033,0,0,30,0
ASV_10330,0,0,3,0
ASV_10331,0,0,4,0
ASV_10332,0,0,3,0
ASV_10333,0,0,5,0
ASV_10334,0,0,4,0
ASV_10335,0,0,5,0
ASV_10336,0,0,7,1
ASV_10337,1,0,5,0
ASV_10338,0,0,3,0
ASV_10339,0,0,14,3
ASV_1034,0,0,29,0
ASV_10340,0,1,5,0
ASV_10341,0,0,4,0
ASV_10342,0,0,7,0
ASV_10343,1,0,11,0
ASV_10344,0,0,6,0
ASV_10345,0,0,3,0
ASV_10346,0,0,5,0
ASV_10347,0,0,11,0
ASV_10348,0,1,5,0
ASV_10349,0,0,4,0
ASV_1035,0,0,31,0
ASV_10350,0,0,3,0
ASV_10351,1,0,4,0
ASV_10352,1,0,3,0
ASV_10353,0,0,10,0
ASV_10354,0,0,8,3
ASV_10355,0,0,3,0
ASV_10356,0,0,5,0
ASV_10357,0,1,4,3
ASV_10358,0,0,4,0
ASV_10359,0,0,5,0
ASV_1036,0,0,32,0
ASV_10360,1,0,4,0
ASV_10361,0,0,6,0
ASV_10362,0,0,5,0
ASV_10363,0,0,4,0
ASV_10364,0,1,3,0
ASV_10365,0,0,4,0
ASV_10366,0,0,4,0
ASV_10367,1,1,9,1
ASV_10368,1,0,10,2
ASV_10369,0,0,6,0
ASV_1037,2,0,33,0
ASV_10370,0,0,4,0
ASV_10371,0,0,12,3
ASV_10372,0,0,6,0
ASV_10373,0,0,4,0
ASV_10374,0,0,5,2
ASV_10375,1,2,4,0
ASV_10376,0,0,5,0
ASV_10377,0,0,7,0
ASV_10378,0,1,4,0
ASV_10379,0,0,7,1
ASV_1038,0,0,33,0
ASV_10380,0,0,5,3
ASV_10381,0,0,3,0
ASV_10382,0,0,4,0
ASV_10383,0,0,5,0
ASV_10384,0,0,3,0
ASV_10385,0,0,4,0
ASV_10386,0,0,5,2
ASV_10387,0,0,3,1
ASV_10388,0,0,3,0
ASV_10389,0,0,3,0
ASV_1039,0,0,27,0
ASV_10390,0,0,4,0
ASV_10391,1,0,3,1
ASV_10392,0,0,3,0
ASV_10393,0,0,4,0
ASV_10394,0,0,8,0
ASV_10395,2,0,3,0
ASV_10396,0,0,5,0
ASV_10397,0,0,5,0
ASV_10398,0,0,6,0
ASV_10399,0,0,7,0
ASV_104,158,0,0,0
ASV_1040,0,0,26,0
ASV_10400,1,0,5,0
ASV_10401,0,1,11,2
ASV_10402,1,0,8,0
ASV_10403,0,0,4,0
ASV_10405,0,1,4,0
ASV_10406,0,0,4,0
ASV_10407,3,0,7,0
ASV_10408,0,1,5,1
ASV_10409,0,0,4,0
ASV_1041,0,0,44,0
ASV_10410,0,0,4,0
ASV_10411,0,0,3,0
ASV_10412,1,1,6,0
ASV_10413,0,0,3,0
ASV_10414,0,0,4,0
ASV_10415,0,0,3,0
ASV_10416,0,0,4,0
ASV_10417,0,0,3,0
ASV_10418,0,0,9,2
ASV_10419,0,0,7,1
ASV_1042,0,0,30,0
ASV_10420,0,0,4,0
ASV_10422,0,0,7,0
ASV_10423,1,0,6,0
ASV_10424,0,0,4,1
ASV_10425,1,0,5,0
ASV_10427,0,0,5,0
ASV_10428,0,0,6,0
ASV_10429,0,0,4,0
ASV_1043,0,0,30,0
ASV_10430,0,0,3,0
ASV_10431,0,0,3,0
ASV_10432,0,1,5,1
ASV_10433,0,0,6,0
ASV_10434,1,0,4,0
ASV_10435,0,0,3,0
ASV_10436,0,0,4,1
ASV_10437,0,0,4,0
ASV_10438,0,0,5,1
ASV_10439,0,0,3,0
ASV_1044,0,0,31,0
ASV_10440,0,0,4,0
ASV_10441,0,0,4,0
ASV_10442,1,0,3,0
ASV_10443,0,0,3,0
ASV_10444,0,0,4,0
ASV_10445,0,0,5,0
ASV_10446,0,0,7,1
ASV_10447,0,1,5,0
ASV_10448,0,0,5,0
ASV_10449,0,0,3,0
ASV_1045,0,0,35,0
ASV_10450,0,0,6,0
ASV_10451,0,1,3,1
ASV_10452,0,0,3,0
ASV_10453,0,0,3,0
ASV_10454,0,0,7,0
ASV_10455,0,0,3,0
ASV_10456,0,0,4,0
ASV_10457,0,0,7,1
ASV_10458,0,0,8,0
ASV_10459,0,0,3,0
ASV_1046,0,0,0,33
ASV_10460,0,0,8,1
ASV_10461,5,0,6,0
ASV_10462,0,0,4,0
ASV_10463,0,1,5,0
ASV_10464,0,2,3,1
ASV_10465,0,0,7,1
ASV_10466,0,0,5,0
ASV_10467,0,0,3,0
ASV_10468,1,0,7,1
ASV_10469,0,1,4,1
ASV_1047,0,0,0,30
ASV_10470,0,0,8,0
ASV_10472,0,0,3,0
ASV_10473,1,1,7,2
ASV_10474,0,0,4,0
ASV_10475,0,0,3,0
ASV_10476,0,0,6,0
ASV_10477,0,0,4,0
ASV_10478,0,1,5,0
ASV_10479,0,0,5,0
ASV_1048,0,0,0,27
ASV_10480,0,0,4,0
ASV_10481,0,0,3,0
ASV_10482,0,0,4,0
ASV_10483,0,2,7,0
ASV_10484,0,0,4,0
ASV_10485,0,0,3,1
ASV_10486,0,0,4,2
ASV_10487,0,0,6,0
ASV_10488,0,0,9,0
ASV_10489,0,0,4,0
ASV_1049,0,0,0,29
ASV_10490,0,0,3,0
ASV_10491,0,1,3,1
ASV_10492,0,0,7,0
ASV_10494,0,0,5,0
ASV_10495,0,0,7,1
ASV_10496,0,0,5,0
ASV_10497,0,0,4,0
ASV_10498,1,0,8,0
ASV_10499,0,0,6,0
ASV_105,0,149,0,0
ASV_1050,0,0,0,29
ASV_10500,0,0,10,0
ASV_10501,0,0,6,0
ASV_10503,0,1,5,1
ASV_10504,0,0,3,0
ASV_10505,1,0,5,0
ASV_10506,0,0,6,0
ASV_10507,0,0,3,0
ASV_10508,0,0,5,0
ASV_10509,0,0,4,0
ASV_1051,0,0,0,35
ASV_10510,1,0,8,0
ASV_10511,0,0,5,0
