,PC1,PC2
SRR17045222,0.28809763884868994,-0.029667142172648684
SRR17045223,-0.10410497621294124,-0.2632592876064258
SRR17045226,-0.012269985187419579,0.19719041496533318
SRR17045227,-0.17172267744832895,0.09573601481374157
